
[0, 'tieba.baidu.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://tieba.baidu.com/celive/live/doajaxfileupload.php', '', '']
[0, 'share.baidu.com', 'exp', 'exp_dedecms_yijuhua', 'http://share.baidu.com/plus/dst.php', 'cmd', 'webshell']
[0, 'g.msn.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://g.msn.com/celive/live/doajaxfileupload.php', '', '']
[0, 'onlinehelp.microsoft.com', 'exp', 'exp_dedecms_yijuhua', 'http://onlinehelp.microsoft.com/plus/dst.php', 'cmd', 'webshell']
[0, 'www.jiahuifeed.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.jiahuifeed.com/celive/live/doajaxfileupload.php', '', '']
[0, 'xxgcx.sdju.edu.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://xxgcx.sdju.edu.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.jiahuifeed.com', 'exp', 'exp_etcms_Upload_shell', 'http://192.168.0.88/cmseasy31/celive/uploadfiles/CELIVE-MP6HCbUYNd.php;.jpg', 'long', 'webshell']
[0, 'www.china-jck.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.china-jck.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.paian.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.paian.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'xxgcx.sdju.edu.cn', 'exp', 'exp_etcms_Upload_shell', 'http://172.20.3.7/celive/uploadfiles/CELIVE-oevVKNjIcC.php;.jpg', 'long', 'webshell']
[0, 'www.noahart.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.noahart.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.noahart.cn', 'exp', 'exp_etcms_Upload_shell', 'http://noahart.net/celive/uploadfiles/CELIVE-5Kf1nydVaO.php;.jpg', 'long', 'webshell']
[0, '180.96.20.70', 'exp', 'exp_cmseasy_IIS6_jx', 'http://180.96.20.70/celive/live/doajaxfileupload.php', '', '']
[0, '299mall.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://299mall.com/celive/live/doajaxfileupload.php', '', '']
[0, 'cg.lyggdw.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://cg.lyggdw.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.antcnit.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.antcnit.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.izbasarbiz.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.izbasarbiz.com/celive/live/doajaxfileupload.php', '', '']
[0, '180.96.20.70', 'exp', 'exp_etcms_Upload_shell', 'http://192.168.1.70/celive/uploadfiles/CELIVE-44yXBX22Ei.php;.jpg', 'long', 'webshell']
[0, 'glxy.ntu.edu.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://glxy.ntu.edu.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'changyun888.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://changyun888.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.cino-chem.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.cino-chem.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.cino-chem.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.cino-chem.com/celive/uploadfiles/CELIVE-sm4LYNefih.php;.jpg', 'long', 'webshell']
[0, 'anptec.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://anptec.com/celive/live/doajaxfileupload.php', '', '']
[0, 'oldfisher.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://oldfisher.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.rizhao-tea.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.rizhao-tea.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.rizhao-tea.com', 'exp', 'exp_etcms_Upload_shell', 'http://h32916.w63.zndns.net/celive/uploadfiles/CELIVE-aVDyhKayYs.php;.jpg', 'long', 'webshell']
[0, 'oldfisher.com.cn', 'exp', 'exp_etcms_Upload_shell', 'http://s147796.515.85w.com/celive/uploadfiles/CELIVE-Rsrp495jer.php;.jpg', 'long', 'webshell']
[0, 'xtdq.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://xtdq.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'dhwjh.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://dhwjh.com/celive/live/doajaxfileupload.php', '', '']
